,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-03,663.1110254949295,528.3680443237865,773.8397472970355,663.1110254949295,663.1110254949295,-7.519975793914727,-7.519975793914727,-7.519975793914727,-7.519975793914727,-7.519975793914727,-7.519975793914727,0.0,0.0,0.0,655.5910497010149
1,2021-08-04,666.6231844464592,529.538477721519,781.5799487096881,666.6231844464592,666.6231844464592,-7.317853996976192,-7.317853996976192,-7.317853996976192,-7.317853996976192,-7.317853996976192,-7.317853996976192,0.0,0.0,0.0,659.305330449483
2,2021-08-05,670.1353433979888,528.4985936410772,778.5897782998431,670.1353433979888,670.1353433979888,-13.668964899931897,-13.668964899931897,-13.668964899931897,-13.668964899931897,-13.668964899931897,-13.668964899931897,0.0,0.0,0.0,656.4663784980569
3,2021-08-06,673.6475023495184,533.271268123994,775.7434690643707,673.6475023495184,673.6475023495184,-16.944190502600915,-16.944190502600915,-16.944190502600915,-16.944190502600915,-16.944190502600915,-16.944190502600915,0.0,0.0,0.0,656.7033118469175
4,2021-08-09,684.1839792041072,556.6394153521751,794.5228090668284,684.1839792041072,684.1839792041072,0.45076634129178084,0.45076634129178084,0.45076634129178084,0.45076634129178084,0.45076634129178084,0.45076634129178084,0.0,0.0,0.0,684.634745545399
5,2021-08-10,687.6961381556367,561.2431981595023,803.8267646202066,687.6961381556367,687.6961381556367,-7.519975793924876,-7.519975793924876,-7.519975793924876,-7.519975793924876,-7.519975793924876,-7.519975793924876,0.0,0.0,0.0,680.1761623617118
6,2021-08-11,691.2082971071663,562.498742811074,807.6368588418582,691.2082971071663,691.2082971071663,-7.317853996962163,-7.317853996962163,-7.317853996962163,-7.317853996962163,-7.317853996962163,-7.317853996962163,0.0,0.0,0.0,683.8904431102042
7,2021-08-12,694.720456058696,555.2215419745886,804.9251443659226,694.720456058696,694.720456058696,-13.668964899938045,-13.668964899938045,-13.668964899938045,-13.668964899938045,-13.668964899938045,-13.668964899938045,0.0,0.0,0.0,681.0514911587579
8,2021-08-13,698.2326150102256,565.5566420152468,800.1398203097664,698.2326150102256,698.2326150102256,-16.94419050258344,-16.94419050258344,-16.94419050258344,-16.94419050258344,-16.94419050258344,-16.94419050258344,0.0,0.0,0.0,681.2884245076422
9,2021-08-16,708.7690919601429,583.7355002283747,835.4746839320413,708.7690919601429,708.7690919601429,0.45076634129664495,0.45076634129664495,0.45076634129664495,0.45076634129664495,0.45076634129664495,0.45076634129664495,0.0,0.0,0.0,709.2198583014396
10,2021-08-17,712.2812509434488,594.3152571242297,827.2005821868676,712.2812509434488,712.2812509434488,-7.51997579391479,-7.51997579391479,-7.51997579391479,-7.51997579391479,-7.51997579391479,-7.51997579391479,0.0,0.0,0.0,704.761275149534
11,2021-08-18,715.7934099267546,579.6760637610245,827.4222343788845,715.7934099267546,715.7934099267546,-7.317853996951462,-7.317853996951462,-7.317853996951462,-7.317853996951462,-7.317853996951462,-7.317853996951462,0.0,0.0,0.0,708.4755559298031
12,2021-08-19,719.3055689100604,578.2346737125295,829.4515165950792,719.3055689100604,719.3055689100604,-13.66896489994419,-13.66896489994419,-13.66896489994419,-13.66896489994419,-13.66896489994419,-13.66896489994419,0.0,0.0,0.0,705.6366040101162
13,2021-08-20,722.817727893366,585.1293688293617,827.6753902262263,722.817727893366,722.817727893366,-16.944190502565647,-16.944190502565647,-16.944190502565647,-16.944190502565647,-16.944190502565647,-16.944190502565647,0.0,0.0,0.0,705.8735373908004
14,2021-08-23,733.3542048432836,619.3121133930367,857.9371403116087,733.3542048432836,733.3542048432836,0.4507663412454635,0.4507663412454635,0.4507663412454635,0.4507663412454635,0.4507663412454635,0.4507663412454635,0.0,0.0,0.0,733.804971184529
15,2021-08-24,736.8663638265892,608.7355195392549,850.0125928504245,736.8663638265892,736.8663638265892,-7.519975793904707,-7.519975793904707,-7.519975793904707,-7.519975793904707,-7.519975793904707,-7.519975793904707,0.0,0.0,0.0,729.3463880326846
16,2021-08-25,740.3785228098951,607.475754308162,850.6406382667216,740.3785228098951,740.3785228098951,-7.31785399693743,-7.31785399693743,-7.31785399693743,-7.31785399693743,-7.31785399693743,-7.31785399693743,0.0,0.0,0.0,733.0606688129577
17,2021-08-26,743.8906818122466,605.7377661188924,853.217092836298,743.8906818122466,743.8906818122466,-13.668964899900454,-13.668964899900454,-13.668964899900454,-13.668964899900454,-13.668964899900454,-13.668964899900454,0.0,0.0,0.0,730.2217169123462
18,2021-08-27,747.4028408145979,601.5955925806817,856.1430365594105,747.4028408145979,747.4028408145979,-16.94419050254785,-16.94419050254785,-16.94419050254785,-16.94419050254785,-16.94419050254785,-16.94419050254785,0.0,0.0,0.0,730.45865031205
19,2021-08-30,757.9393178216521,634.030864096406,876.8876634801688,757.9393178216521,757.9393178216521,0.4507663412503278,0.4507663412503278,0.4507663412503278,0.4507663412503278,0.4507663412503278,0.4507663412503278,0.0,0.0,0.0,758.3900841629024
20,2021-08-31,761.4514768240036,627.9119672495998,873.2768996235368,761.4514768240036,761.4514768240036,-7.519975793922785,-7.519975793922785,-7.519975793922785,-7.519975793922785,-7.519975793922785,-7.519975793922785,0.0,0.0,0.0,753.9315010300809
21,2021-09-01,764.9636358263549,629.1180423622676,874.9135471117864,764.9636358263549,764.9636358263549,-7.317853996968851,-7.317853996968851,-7.317853996968851,-7.317853996968851,-7.317853996968851,-7.317853996968851,0.0,0.0,0.0,757.645781829386
22,2021-09-02,768.4757948287064,636.3564960373143,872.5436809522072,768.4757948287064,768.4757948287064,-13.668964899919386,-13.668964899919386,-13.668964899919386,-13.668964899919386,-13.668964899919386,-13.668964899919386,0.0,0.0,0.0,754.806829928787
23,2021-09-03,771.9879538310579,636.2541114075208,890.5942499185485,771.9879538310579,771.9879538310579,-16.944190502530684,-16.944190502530684,-16.944190502530684,-16.944190502530684,-16.944190502530684,-16.944190502530684,0.0,0.0,0.0,755.0437633285272
24,2021-09-07,786.0365898404634,658.2994107907067,904.283201727611,786.0365898404634,786.0365898404634,-7.519975793884534,-7.519975793884534,-7.519975793884534,-7.519975793884534,-7.519975793884534,-7.519975793884534,0.0,0.0,0.0,778.5166140465789
25,2021-09-08,789.548749669229,661.3387086460207,902.5740694387626,789.548749669229,789.548749669229,-7.317853996954821,-7.317853996954821,-7.317853996954821,-7.317853996954821,-7.317853996954821,-7.317853996954821,0.0,0.0,0.0,782.2308956722742
26,2021-09-09,793.0609094979945,667.7893018545153,911.7708986321329,793.0609094979945,793.0609094979945,-13.66896489991275,-13.66896489991275,-13.66896489991275,-13.66896489991275,-13.66896489991275,-13.66896489991275,0.0,0.0,0.0,779.3919445980817
27,2021-09-10,796.5730693267602,668.8833478604508,896.2627061861326,796.5730693267602,796.5730693267602,-16.944190502512892,-16.944190502512892,-16.944190502512892,-16.944190502512892,-16.944190502512892,-16.944190502512892,0.0,0.0,0.0,779.6288788242473
28,2021-09-13,807.1095488130569,690.4658569153028,930.9874537690174,807.1095488130569,807.1095488130569,0.45076634132444476,0.45076634132444476,0.45076634132444476,0.45076634132444476,0.45076634132444476,0.45076634132444476,0.0,0.0,0.0,807.5603151543813
29,2021-09-14,810.6217086418225,679.3022865502439,924.2402582994058,810.6217086418225,810.6217086418225,-7.519975793922847,-7.519975793922847,-7.519975793922847,-7.519975793922847,-7.519975793922847,-7.519975793922847,0.0,0.0,0.0,803.1017328478996
30,2021-09-15,814.1338684705879,686.2642382728336,925.4574369287461,814.1338684705879,814.1338684705879,-7.317853996963515,-7.317853996963515,-7.317853996963515,-7.317853996963515,-7.317853996963515,-7.317853996963515,0.0,0.0,0.0,806.8160144736244
31,2021-09-16,817.6460282993535,680.9115520682036,933.6693132787033,817.6460282993535,817.6460282993535,-13.668964899931682,-13.668964899931682,-13.668964899931682,-13.668964899931682,-13.668964899931682,-13.668964899931682,0.0,0.0,0.0,803.9770633994218
32,2021-09-17,821.1581881281189,681.3301774505554,920.9540645119288,821.1581881281189,821.1581881281189,-16.944190502592072,-16.944190502592072,-16.944190502592072,-16.944190502592072,-16.944190502592072,-16.944190502592072,0.0,0.0,0.0,804.2139976255269
33,2021-09-20,831.6946676635354,705.8107885690282,959.7289399168343,831.6946676635354,831.6946676635354,0.4507663412732612,0.4507663412732612,0.4507663412732612,0.4507663412732612,0.4507663412732612,0.4507663412732612,0.0,0.0,0.0,832.1454340048086
34,2021-09-21,835.2068275086741,711.6196271630944,948.5647923276717,835.2068275086741,835.2068275086741,-7.519975793940926,-7.519975793940926,-7.519975793940926,-7.519975793940926,-7.519975793940926,-7.519975793940926,0.0,0.0,0.0,827.6868517147332
35,2021-09-22,838.718987353813,710.1869157570555,951.3479608390847,838.718987353813,838.718987353813,-7.317853996952817,-7.317853996952817,-7.317853996952817,-7.317853996952817,-7.317853996952817,-7.317853996952817,0.0,0.0,0.0,831.4011333568601
36,2021-09-23,842.2311471989518,711.3581292223565,943.9634669227787,842.2311471989518,842.2311471989518,-13.668964899937826,-13.668964899937826,-13.668964899937826,-13.668964899937826,-13.668964899937826,-13.668964899937826,0.0,0.0,0.0,828.562182299014
37,2021-09-24,845.7433070440906,708.1716240936507,939.2564654462856,845.7433070440906,845.7433070440906,-16.944190502574592,-16.944190502574592,-16.944190502574592,-16.944190502574592,-16.944190502574592,-16.944190502574592,0.0,0.0,0.0,828.799116541516
38,2021-09-27,856.2797865795069,729.7003894984587,979.7490534291351,856.2797865795069,856.2797865795069,0.4507663412781273,0.4507663412781273,0.4507663412781273,0.4507663412781273,0.4507663412781273,0.4507663412781273,0.0,0.0,0.0,856.730552920785
39,2021-09-28,859.7919464246459,735.3233630516014,975.0676329228016,859.7919464246459,859.7919464246459,-7.519975793930841,-7.519975793930841,-7.519975793930841,-7.519975793930841,-7.519975793930841,-7.519975793930841,0.0,0.0,0.0,852.271970630715
40,2021-09-29,863.3041062697845,737.6471040874077,978.2295487828006,863.3041062697845,863.3041062697845,-7.31785399696151,-7.31785399696151,-7.31785399696151,-7.31785399696151,-7.31785399696151,-7.31785399696151,0.0,0.0,0.0,855.986252272823
41,2021-09-30,866.8162661306916,734.0616484731914,970.3539875381141,866.8162661306916,866.8162661306916,-13.66896489995676,-13.66896489995676,-13.66896489995676,-13.66896489995676,-13.66896489995676,-13.66896489995676,0.0,0.0,0.0,853.1473012307348
42,2021-10-01,870.3284259915986,745.0022606943444,978.7773180428264,870.3284259915986,870.3284259915986,-16.944190502557113,-16.944190502557113,-16.944190502557113,-16.944190502557113,-16.944190502557113,-16.944190502557113,0.0,0.0,0.0,853.3842354890414
43,2021-10-04,880.8649055743196,762.7848740989941,998.5482941228433,880.8649055743196,880.8649055743196,0.45076634125496995,0.45076634125496995,0.45076634125496995,0.45076634125496995,0.45076634125496995,0.45076634125496995,0.0,0.0,0.0,881.3156719155745
44,2021-10-05,884.3770654352265,762.7466322455234,1004.481392534375,884.3770654352265,884.3770654352265,-7.519975793920756,-7.519975793920756,-7.519975793920756,-7.519975793920756,-7.519975793920756,-7.519975793920756,0.0,0.0,0.0,876.8570896413058
